User,Stars,Date,Text,Title
callumdignan,9,9 March 2024,"If this dosen't get renewed for a season 2 myself and I imagine plenty of other people will riot. A majority of the stuff netflix puts out is mediocre at best and most of it you forget after watching because its just mush. Most of it feels like it's purely just to keep the content machine flowing. The gentlemen feels totally different and might actually be one of the greatest shows I've seen and it's only the first season.Top acting, top direction, top writing, top everything basically. Guy Ritchie is absolutely on form here. Had me right on the edge of my seat for a majority of the show trying to work out all the angles, agendas, schemes going on between the multiple calculated characters through out the show and on so many occasions I thought I had it worked out until a few moments later I'd be proven wrong again with another brilliantly executed twist.The gentlemen (2019) was already a fantastic film but what limited it was the time it had to tell its story however giving Guy Ritchie and his team a full 8 episodes to play with to fully pad out this story was very clearly an excellent choice and I truly hope this show takes off in a big way not only because it deserves it but because Netflix will hopefully realise what a treat this show is and give us more seasons.I could go on for ages about this show but I'd rather leave as much detail out of this review as possible because I went into this series essentially blind and I absolutely loved it however I imagine knowing more of the details before hand wouldn't have had the same impact so if you can, watch this before you learn any more about it, trust me.So in short, watch this show. As soon as possible. Its fantastic.",The best thing Netflix has produced in a very long time
Rob1331,9,7 March 2024,"The Gentleman is a spin off of the movie of the same name. The movie was great and had big stars involved in it like Matthew McConaughey, Charlie Hunnam, Colin Farrell, Hugh Grant, Jeremy Strong among others so based off that star power alone I thought this wouldn't measure up. I was wrong. This was brilliant. I literally couldn't stop watching this and enjoyed every second of it. The story is about an aristocrat (Theo James) who inherits the family estate. He's unaware that that estate includes running one of the biggest drug empires in the country. That drug syndicate doesn't plan on going anywhere either. You can tell Guy Ritchie was heavily involved in this because it has his style all over it. If you like his films you'll like this series too.",Enjoyed Every Second
Supermanfan-13,9,8 March 2024,"As a big fan of Guy Ritchie and the movie that this was based off, The Gentleman, I've been looking forward to this since I first heard about it, especially when I heard Ritchie was also creating it and even directing episodes. Even though it's not quite as good as the movie it's still very good and absolutely worth your time to watch this. I enjoyed the style of this series. It makes you enjoy every character and actually care about what happens to them. Theo James was terrific as the lead and between his performance in this and The White Lotus last year I hope it leads to even bigger things for him. If you're looking for a new show that is just a fun watch then this is it. I really hope they do several seasons of this because I'm fully invested.",Excellent
Twi12,10,8 March 2024,"This is a reminder that TV can just freaking fun and not take itself so seriously! The Gentlemen S1 stands out as a pinnacle of escapism, blending sharp wit, a plot full of intrigue, and a charismatic ensemble cast into a cinematic experience that captivates and entertains from start to finish. Guy Ritchie's unique storytelling style of- by fast-paced dialogue, complex characters, and stylish direction-creates a world that, while grounded in the grit and machinations of the criminal underworld, feels almost fantastical in its execution. Watch the full season as it sets up for what can be an even better second season.","Brilliant, unique Spin-off"
Sarah423,9,10 March 2024,"I thoroughly enjoyed this series, although I acknowledge that I easily cleared two hurdles that viewers with lower ratings might not:
I loved Guy Ritchie's style and didn't find it getting old on me;
I didn't know about any movie, so I'm seeing these as ""fresh"" takes from the start.Every character in this series was fun to get to know and to try to understand. What complexity. What eccentricity along with believable nuance.Every actor succeeded in pulling off finely crafted individuals that fit perfectly into the sometimes off-the-wall plot.They lure viewers in, which is a great reason to keep going.Another great reason, of course, is that plot.What a ride!","Stylized, Classic"
bbraddock-49896,9,7 March 2024,"If you like this sort of thing: wild, over the top and sometimes ruthless British blokes with a dark sense of humor, you'll probably watch in one binge sitting.For myself, I found a lot of new faces, so I didn't know what to expect. The leads are entertaining. Vinnie Jones is a nice addition, as a more laid back, but don't mess with me fellow.The old English estate setting is great to look at in itself.Once again, Guy Richie has no problem creating a rich environment, and dialog is cleaver and sharp.Grab a bottle of wine and enjoy the ride.Never going to top Lock, Stock, Etc or Snatch, but this is great fun.Highly recommended.",WITTY FUN
leftbanker-1,9,10 March 2024,"If that makes any sense. What I'm trying to say while pointing Aristotle's quote into a mirror, is that this is worth watching simply for all of the outstanding individual performances. There are many other reasons to tune in, but the acting clinic on parade here is a lot of fun.The Parts:#1 - The StoryOf course, this story began with the film but has only a very tangential relationship with that work. Every episode has a beginning, middle, and an end, as well as a cliffhanger or something else to propel viewers onward. As with his movies, some of the stories worked for me, others didn't. Some of the conflicts were just way too facile with their resolutions. Eddie was pushed into way too many predicaments as he tried to extract his family from the business, accepting too many dangerous assignments for reasons not adequately explained, not to me.#2 - The DialogueRitchie seems to have developed his own form of dialogue in which street toughs and lowlifes converse with a sort of modern day Shakespearean banter, well above the vernacular of the average dirtbag, whether in real life or in other movies. While Tarantino was propelled into stardom for the way in which some of his characters lapse into long soliloquys, whether on their own or in a group, Ritchie's creations throw around a lot of word-a-day calendar vocabulary in their speechifying. It comes off affected at times, but more often than not his dialogue is a lot of fun.#3 - The CharactersBringing fun-as-hell characters to life on the screen is definitely Ritchie's strong point, or one of them. Eddie, Susie, Jimmy, Bobby, and Geoff could all walk away from this and carry their own series. It helps to have such talented actors reading you lines, and it definitely is important for actors to have great material to spin into the roles they help to create.Compared to about 99% of what is out there in TV and movie land, this series was positively brilliant. Period.",The Sum of Its Parts is Greater than the Whole
DazzlaMF,9,7 March 2024,"Taking the same path of the movie, this Netflix series follows the adventures of former soldier and recently titled Eddie, who inherits the family estate, and unknowingly, a joint-venture weed empire with a London gang.And it's this entertaining clash of old-English aristocracy and contemporary London drug gang that makes this series entertaining. Eddies older brother, Freddie, who should have inherited, is errant if well meaning, provides some classic ineptitude for comedy value.And there's a good balance of romantic tension between Eddie and the daughter of the gang's boss to keep you guessing. The casting is good, production values high and storylines engaging.Witty, stylish and fun, it's a good addition to the Netflix lineup. Not too serious and gory, but with enough tension and characters to keep you entertained.",Quality entertainment in classic Guy Ritchie style
danielportman-58376,9,8 March 2024,"When I initially tuned in, I anticipated a B-grade, easy-watching spin-off from a beloved film. Little did I know that Guy Ritchie was involved. After the first episode, I realized what I'd signed up for and relished every moment of the journey.True to form, the series delivered a plethora of dynamic characters, accompanied by snappy, witty dialogue and intricately woven plot points. It epitomizes the quintessential Guy Ritchie style, offering an extended exploration of characters and storylines.In conclusion, if you have a penchant for gritty UK mobster shows, this one is tailor-made for you. Sit back, relax, and savor the experience.",Making Waves: Guy Ritchie's Bold Move into Serialized Storytelling
gekko_050,6,7 March 2024,"Sleek, cool, funny, and exactly what you'd expect from Guy Ritche when he's on form (his track record is 50/50) at first.After a couple of episodes it becomes more apparent that while there is an attempt at an overall story, it becomes a ramble with each episode bringing new characters with new problems that needs to be resolved, and it begins to lose its pace and cohesion which is a shame.The characters are good, the dialogue is good and it is well filmed, but the writing badly lets it down. The formula that works as a fun 90 minutes in a Guy Ritchie film repeated over 10 episodes wears very very thin unfortunately.It could have been so much better which is a shame.","Started well, then it rambles on to nowhere."
